Name;KUNST/WEG;VORAUSSETZUNG;SEITE;Erläuterungen
Abschirmung;Abwehrmagie;–;SG S. 176;ABSCHIRMUNG Ein Charakter mit der Metamagie Abschirmung kann sich und andere besser gegen feindliche Zauber schützen. Wenn der Zauberer Zauberabwehr ansagt, kann er dafür zusätzliche Würfel in Höhe seines Initiatengrades verwenden. Diese Zusatzwürfel sind nicht für andere Arten der Antimagie, wie das Bannen, nutzbar.
Absorption;Abwehrmagie;Abschirmung;SG S. 176;"ABSORPTION VORAUSSETZUNG: ABSCHIRMUNG Mittels Absorption kann der Zauberer einen Teil des Manas aus einem gegen ihn gewirkten Zauber absaugen. Dies gilt auch für Alchemische Erzeugnisse und einige Rituale mit dem Merkmal Zauber. Der Zauberer führt eine Unterbrechungshandlung (die sein Initiativeergebnis um 5 senkt) durch und legt eine Probe auf Antimagie + Magie [Kraftstufe des gegnerischen Zaubers] ab. Jeder Erfolg hat zwei Wirkungen: • Er senkt die Kraftstufe des gegnerischen Zaubers um 1. • Er bildet eine „Manaladung“ in der Aura des Zauberers, die für den späteren Gebrauch verfügbar ist. Der Zauberer kann diese Manaladung [1 + Initiatengrad] Kampfrunden lang in sich speichern. Er kann höchstens [Magie] Ladungen speichern. Diese temporären Ladungen verschwinden, sobald der Zauberer einen Zauber wirkt. Jede Manaladung in seiner Aura senkt den Entzug des gewirkten Zaubers um 1 (bis zu einem Minimum von 2), und die entsprechende Ladung verschwindet. Der Zauberer kann die Ladungen nicht auf mehrere Zauber aufteilen; alle gehen in den nächsten gewirkten Zauber. Wenn der Zauberer eine Anzahl von Manaladungen absorbiert, die größer ist als sein Magieattribut, erleidet er pro aufgenommener Ladung (und das gilt für alle Ladungen, nicht nur für diejenigen über seinem Magieattribut) 1 Kästchen Körperlichen Schaden (dem er nicht widerstehen kann), und alle angesammelten Ladungen verschwinden sofort. Wenn er keinen Zauber wirkt, bevor die Ladungen abgelaufen sind, erleidet er Entzug in Höhe der verbliebenen Ladungen, und diese verschwinden. Dem Entzug wird wie üblich widerstanden."
Adeptenzentrierung;Weg des Unentschlossenen;–;SG S. 181;ADEPTENZENTRIERUNG Mit der Adeptenzentrierung kann ein Adept negative Würfelpoolmodifikatoren (z. B. Umweltmodifikatoren) bei Proben mit Körperlichen oder Kampffertigkeiten verringern, indem er gleichzeitig eine bestimmte mundane Handlung durchführt. Diese Handlung ist etwas, das der Adept durchführt, um sich besser auf sein Tun zu konzentrieren (er zentriert sich also). Beispiele sind Gesänge oder Schreie – es kann eine beliebige Handlung sein, solange sie auffällig ist. Der Adept kann, solange er seine bevorzugte Methode des Zentrierens ausführen kann, negative Würfelpoolmodifikatoren um seinen Initiatengrad verringern. Die Zentrierung erfordert eine Freie Handlung während der Handlungsphase des Adepten.
Anrufung;Anrufung;–;SG S. 172;ANRUFUNG Wer die Anrufung lernt, bekommt zuerst das Ritual Geist in Großer Gestalt Beschwören (S. 148) beigebracht. Wer sich aber für eine Vertrautenprüfung (S. 166) entscheidet, muss das Ritual der Verbündetenbeschwörung (S. 159) als erste Technik der Anrufung wählen. GEIST IN GROSSER GESTALT BESCHWÖREN (DIENER) VORAUSSETZUNG: ANRUFUNG Ein Zauberer kann mit diesem Ritual einem gebundenen Geist größere Macht verleihen. Die Nettoerfolge bei der Ritualzaubereiprobe legen die Wirkung auf den Geist fest. Das Ritual braucht zur Vollendung [Kraftstufe] Stunden. Die Kraftstufe des Rituals muss mindestens so hoch sein wie die des Geistes. VERBÜNDETENBESCHWÖRUNG (DIENER) VORAUSSETZUNG: ANRUFUNG Mit diesem Ritual kann der Zauberer einen Verbündeten beschwören, sofern er im Besitz einer entsprechenden Geisterformel (S. 237) ist. Das Ritual verwendet abweichend von den anderen hier beschriebenen Ritualen die Fertigkeiten Herbeirufen und Binden und wird unter Beschwören eines Verbündeten auf S. 235 näher beschrieben. VERTRAUTER Bei dieser Prüfung muss der Charakter am Ende der Initiation einen Verbündeten (S. 234) beschwören. Die Prüfung selbst besteht darin, herauszu nden, was für die Geisterformel nötig ist. Diese Prüfung steht Kandidaten zur Verfügung, die die Kunst der Anrufung lernen wollen, und kann das Erlernen des Rituals Geist in Großer Gestalt Beschwören durch Verbündetenbeschwörung ersetzen.
Astraler Bluff;Flexible Signatur;–;SG S. 174;ASTRALER BLUFF Wenn ein Zauberer einen Initiaten, der diese Technik beherrscht, askennt, kann der Initiat eine Einfache Handlung durchführen, um seine Aura so anzupassen, dass sie temporär einen falschen Eindruck liefert. Es handelt sich um kleine Veränderungen (Gefühls- oder Gesundheitszustand usw.), mit denen allerdings Verkleidungen oder andere Täuschungen verbessert werden können. Dabei legt der Initiat eine Probe auf Überreden + Magie [Sozial] (3) ab. Gelingt die Probe, kann er den gewünschten Eindruck vermitteln und die Gegenseite davon abhalten, seine Aura allzu genau zu untersuchen. Diese Wirkung hält nicht lange: Wenn die Aura des Zauberers länger als 5 Minuten in Sichtweite einer Person bleibt, die gerne genauer hinsähe, ist das Spiel aus. Die Person beschließt dann, dass die Aura auf jeden Fall untersucht werden sollte, und sieht so genau hin, dass der Bluff nicht mehr wirkt. Wenn der Zauberer seine Aura an diesem Punkt dann noch überzeugend verkleiden will, muss er die Metamagie Maskierung verwenden. Die Metamagie Astraler Bluff kann in Verbindung mit einer Probe auf Überreden oder Verkleiden als Teamworkprobe (SR5, S. 51) verwendet werden.
Domäne des Kriegers;Weg des Kriegers;–;SG S. 182;DOMÄNE DES KRIEGERS Wer diesem Pfad folgt, wird durch Hintergrundstrahlung aufgrund gewalttätiger Ereignisse weniger stark beeinträchtigt. Senken Sie den Malus durch Hintergrundstrahlung um 1 + Initiatengrad, wenn die Hintergrundstrahlung auf Gewalt oder Krieg ausgerichtet ist.
Durchdringender Zauber;Fortgeschrittene Spruchzauberei;–;SG S. 178;"DURCHDRINGENDER ZAUBER Mit dieser Metamagie kann der Zauberer die Durchschlagskraft eines Kampfzaubers auf Kosten des Schadens erhöhen, bevor er den Zauber wirkt. Der Schaden sinkt pro Punkt Erhöhung der DK (bis zur Kraftstufe des Zaubers) um 1. Der Mindestschaden beträgt 1. Der Entzug steigt um die Erhöhung der DK. Beispiel: Ein Feuerball mit Kraftstufe 5 (normalerweise mit Schaden 5K und DK -5) wird vor dem Wirken zu Schaden 3K und DK -7 verändert; die DK wurde um 2 erhöht, also steigt der Entzug um 2. Die Nettoerfolge werden, wie üblich, eingesetzt, um den Schaden zu erhöhen oder die Abweichung (SR5, S. 286) zu senken."
Effizientes Ritual;Weg des Unentschlossenen;–;SG S. 177;EFFIZIENTES RITUAL Warum sollte man einen ganzen Tag im Ritualkreis opfern, wenn auch zwölf Stunden reichen könnten? Zauberer, die ihr Studium der Ritualmagie vertiefen, können lernen, Rituale schneller durchzuführen. Reduzieren Sie die Zeit, die ein Ritual zur Vollendung braucht, auf die (abgerundete) Hälfte, wenn ein solcher Initiat Ritualleiter ist. Der Preis für diese Beschleunigung ist ein um 2 erhöhter Entzug beim Schritt Besiegeln (SR5, S. 295).
Erweiterte Maskierung;Weg des Unentschlossenen;Maskierung;SG S. 174;ERWEITERTE MASKIERUNG VORAUSSETZUNG: MASKIERUNG Die Erweiterte Maskierung gestattet auch das Verbergen von verankerten, aufrechterhaltenen und intensivierten Zaubern, erfüllten oder eingestimmten Gegenständen sowie Alchemischen Erzeugnissen, die der Zauberer besitzt. Der Zauberer kann (zusätzlich zu gebundenen Foki) eine Anzahl von Gegenständen gleich seinem Initiatengrad maskieren. Jeder so maskierte Gegenstand muss eine Kraftstufe haben, die kleiner ist als das Magieattribut des Zauberers. Gemäß den Regeln für Maskierung ist eine Vergleichende Askennen-Probe (s. o.) nötig, um solche Gegenstände zu sehen. Wenn der Beobachter keine Nettoerfolge erzielt, erscheinen ihm maskierte Gegenstände als normale Schwankungen der Hintergrundstrahlung.
Exorzismus;Der Geisterweg;–;SG S. 173;EXORZISMUS Exorzismus ist eine einzigartige Form des Geisterkampfs, bei der der Zauberer den Geist aus seinem Gefäß zieht. Dazu benötigt man Körperkontakt mit dem Gefäß. Der Zauberer legt eine Vergleichende Probe auf Willenskraft + Charisma gegen die doppelte Kraftstufe des Geistes ab. Ein Zauberer, der die Metamagie Exorzismus und die Fertigkeit Verbannen beherrscht, kann seine Willenskraft als Würfelpoolbonus zu der normalen Verbannen-Probe addieren. Um einen Geist aus seinem Gefäß zu verbannen, benötigt man eine kumulierte Anzahl an Nettoerfolgen gleich der Kraftstufe des Geistes. Jeder Exorzismusversuch ist sehr anstrengend: Der Exorzist muss jedes Mal einem Entzug gleich der doppelten Anzahl der Erfolge (nicht Nettoerfolge) des Geistes widerstehen. Zauberer widerstehen dem Entzug gemäß ihrer Tradition, Adepten mit Konstitution + Willenskraft. Wenn der Exorzismus erfolgreich war, verliert der Geist die Verbindung zum Gefäß und wird in den Astralraum vertrieben. Sobald er sich im Astralraum be ndet, leidet er unter Schwund. Ein Exorzismus kann nur gegen kanalisierte Geister, Geister mit der Kraft Besessenheit oder Geister in Wahrer Gestalt (S. 226) mit der Kraft Bewohnung durchgeführt werden.
